id,isbn,title,author,dept_course,descript_raw,toc_raw,descript_url,toc_url
1,97803212,END OF EVERYTHING,ABBOTT,"[""['ENGH 497', 'ENGH 513']"", ""['EDRD 610']"", ""['ENGH 399']"", ""['FRSC 304', 'FRSC 540']"", ""['ASTR 113']"", ""['HNRT 228']"", ""['SWE 619']"", ""['GEOL 304']"", ""['MATH 113', 'MATH 114', 'MATH 116', 'MATH 124', 'MATH 213']"", ""['MATH 113', 'MATH 114', 'MATH 116']"", ""['MATH 213']"", ""['NURS 761']"", ""['NURS 713', 'NURS 761']"", ""['NURS 749']"", ""['ENGH 396']"", ""['ECON 370', 'ECON 846']"", ""['CFRS 780']"", ""['ISA 681', 'SWE 681']"", ""['EDAT 649']"", ""['ENGH 373']"", ""['GCH 350']"", ""['ATEP 270']"", ""['INFS 622']"", ""['ENGH 375', 'ENGH 507']"", ""['PHYS 245']"", ""['COMM 430']"", ""['MATH 110', 'MATH 111']"", ""['CFRS 790']"", ""['BIOL 431']"", ""['MATH 453']"", ""['NURS 425']"", ""['ENGH 101']"", ""['CS 550', 'CS 650']"", ""['CS 450']"", ""['CS 483']"", ""['AVT 217', 'AVT 415', 'SWE 205']"", ""['STAT 515']"", ""['MATH 203']"", ""['HIST 122']"", ""['CLIM 111', 'PHYS 111']"", ""['GEOL 101']"", ""['RHBS 271']"", ""['BIOL 124', 'BIOL 125']"", ""['NURS 713', 'NURS 769']"", ""['STAT 350']"", ""['GCH 411']"", ""['MATH 106']"", ""['NURS RN RETRN']"", ""['NURS 715']"", ""['MATH 106', 'MATH 113', 'MATH 114', 'MATH 116', 'MATH 124', 'MATH 203', 'MATH 213']"", ""['STAT 250', 'STAT 350']"", ""['CLAS 250']"", ""['BIOL 103', 'BIOL 104']"", ""['MATH 301']"", ""['MATH 351', 'STAT 544']"", ""['GGS 103']"", ""['BIOL 214']"", ""['CDS 410', 'MATH 446', 'MATH 447', 'OR 481']"", ""['ENGH 201']"", ""['BIOL 486']"", ""['SWE 632']"", ""['HNRS 130']"", ""['EVPP 301']"", ""['NURS 434', 'NURS 440', 'NURS 466']"", ""['CS 531']"", ""['CHEM 102', 'CHEM 104']"", ""['EDUC 537']"", ""['CS 584']"", ""['ECON 310']"", ""['EVPP 338']"", ""['BIOL 246', 'BIOL 305']"", ""['CFRS 663', 'TCOM 663']"", ""['CS 310', 'INFS 519']"", ""['GEOL 308']"", ""['EVPP 110', 'EVPP 111']"", ""['ENGH 400']"", ""['PHYS 260']"", ""['PHYS 160']""]","<p>Explore the current state of the production, processing, and manufacturing industries and discover what it will take to achieve re-industrialization of the former industrial powerhouses that can counterbalance the benefits of cheap labor providers dominating the industrial sector. This book explores the potential for the Internet of Things (IoT), Big Data, Cyber-Physical Systems (CPS), and Smart Factory technologies to replace the still largely mechanical, people-based systems of offshore locations.</p><p><i>Industry 4.0: The Industrial Internet of Things</i> covers Industry 4.0, a term that encapsulates trends and technologies that could rewrite the rules of manufacturing and production.<br></p><br><b>What You'll Learn:</b><ul><li>Discover the Industrial Internet and Industrial Internet of Things<br></li><li>See the technologies that must advance to enable Industry 4.0 and learn what is happening today to make that happen</li><li>Observe examples of the implementation of Industry 4.0<br></li><li>Apply some of these case studies<br></li><li>Discover the potential to take back the lead in manufacturing, and the potential fallout that could result<br></li></ul><br><b>Who This Book is For:</b> <p>Business futurists, business strategists, CEOs and CTOs, and anyone with an interest and an IT or business background; or anyone who may have a keen interest in how the future of IT, industry and production will develop over the next two decades.</p><p></p>",,https://www.googleapis.com/books/v1/volumes?key=AIzaSyAgszsKLEg7nfzmp-cNM2ep1tihrR_RXBk&q=97803212,
2,97819412,BADDAWI,ABDELRAZAQ,"[""['ENGH 201']"", ""['SPMT 405']"", ""['ENGH 397']"", ""['GOVT 520']"", ""['MATH 108']"", ""['EDCI 473', 'EDCI 573']"", ""['NURS 758']"", ""['SPMT 302']"", ""['CONF 345']"", ""['ENGH 302']"", ""['PROV 301']"", ""['GCH 335']"", ""['SPMT 420']"", ""['ENGH 685']"", ""['HNRS 130']"", ""['MATH 006']"", ""['MATH 045']"", ""['MATH 008', 'MATH 044']"", ""['NURS 805']"", ""['COMM 204', 'COMM 330', 'COMM 331', 'COMM 388', 'COMM 389', 'COMM 391']"", ""['MATH 216']"", ""['ECON 103', 'ECON 309']"", ""['EDCI 790']"", ""['GOVT 322']"", ""['MATH 006', 'MATH 044', 'MATH 045', 'MATH 108']""]",Description Not Found,,https://www.googleapis.com/books/v1/volumes?key=AIzaSyAgszsKLEg7nfzmp-cNM2ep1tihrR_RXBk&q=97819412,
3,97815912,MILITANT ISLAMIST IDEOLOGY,ABOUL-ENEIN,"[""['CONF 345']"", ""['AE 022']"", ""['PUAD 703']"", ""['CFRS 660', 'TCOM 660']"", ""['RELI 235']"", ""['ARAB 110']"", ""['ARAB 110', 'ARAB 210']"", ""['ARAB 250']"", ""['PSYC 405']"", ""['IT 445']"", ""['IT 341']"", ""['SOCI 412']"", ""['SOCI 302']"", ""['ENGH 201']"", ""['TCOM 690']"", ""['EVPP 480']"", ""['ENGH 204']"", ""['TCOM 515', 'TCOM 609']"", ""['CFRS 761']"", ""['CLAS 350']"", ""['NUTR 466', 'NUTR 566']"", ""['GBUS 540']"", ""['GLOA 450', 'GLOA 599']"", ""['HIST 387']"", ""['GCH 320']"", ""['BIS 300', 'GCH 645']"", ""['PRLS 210']"", ""['RELI 341']"", ""['ARAB 350', 'ARAB 351']"", ""['PHIL 391']"", ""['HNRS 230']"", ""['EDCI 666']"", ""['EDCI 855']"", ""['GOVT 467']"", ""['CEIE 304', 'CEIE 404']"", ""['RELI 272']"", ""['CEIE 203']"", ""['GOVT 324', 'PHIL 324']"", ""['SOCW 483']"", ""['HIST 688']"", ""['ECON 481', 'ECON 820']"", ""['HIST 499']"", ""['EDCD 656']"", ""['EDLE 634']"", ""['ENGH 315']"", ""['ECON 362']"", ""['CONF 747']"", ""['CS 100']"", ""['ENGH 513']"", ""['AVT 243', 'AVT 311']"", ""['GOVT 332', 'GOVT 632']"", ""['HIST 329']"", ""['EDRS 826']"", ""['MBA 737']""]",Description Not Found,,https://www.googleapis.com/books/v1/volumes?key=AIzaSyAgszsKLEg7nfzmp-cNM2ep1tihrR_RXBk&q=97815912,
4,97803112,WHY NATIONS FAIL,ACEMOGLU,"[""['ECON 360']"", ""['GOVT 467']"", ""['ENGH 204']"", ""['ENGH 201']"", ""['ECON 385']"", ""['ECON 309']"", ""['ENGH 310']"", ""['PRLS 300']"", ""['NURS 465']"", ""['HIST 121']"", ""['CULT 860']"", ""['RUSS 353']"", ""['HIST 125', 'HIST 373']"", ""['TOUR 110']"", ""['CULT 860', 'GOVT 520']"", ""['GOVT 520']"", ""['GBUS 540']"", ""['ENGH 305']"", ""['ENGH 101']"", ""['GOVT 444']"", ""['NCLC 301']"", ""['PROV 504']"", ""['HNRS 230']"", ""['HNRS 122']"", ""['HIST 499']"", ""['JAPA 340']"", ""['ENGH 608']"", ""['HDFS 401']"", ""['HIST 535', 'HIST 615', 'HIST 635']"", ""['HIST 387']"", ""['ENGH 497', 'ENGH 513']"", ""['HNRS 130']"", ""['HIST 304']"", ""['ENGH 419']"", ""['ECED 402', 'ECED 502']"", ""['LING 306']"", ""['EAP 097']"", ""['HIST 300']"", ""['CRIM 490', 'RELI 364']"", ""['ENGH 650']"", ""['ENGH 442']"", ""['EDCD 609']"", ""['GOVT 344']"", ""['ENGH 323']"", ""['BIOL 330']"", ""['COMM 690', 'COMM 890', 'HNRS 131']"", ""['HIST 125']"", ""['HIST 388']"", ""['ENGH 202', 'HNRS 353']"", ""['ENGH 202']"", ""['AE 042']""]","To ensure reliable, accurate, and timely data, which are necessary to monitor the progress of education in the United States, Congress has mandated that the National Center for Education Statistics (nces) produce an annual report, ""The Condition of Education."" This year's report presents 50 indicators of important developments and trends in U.S. education. These indicators focus on participation and persistence in education, student performance and other measures of achievement, the environment for learning, and resources for education. The report also uses a group of the indicators to take a closer look at changes in postsecondary education in the United States by institution level and control. As more students in the United States pursue education beyond high school, the distribution of students across institutions, such as public, private not-for-profit, and private for-profit, has been shifting. The authors take a look at these changes to see how they are reshaping postsecondary education. Appended are: (1) Supplemental Tables; (2) Supplemental Notes; (3) Glossary; (4) Bibliography; and (5) Index. (Contains 111 tables and 110 figures.) [To access the e-book version of this document, see http://nces.ed.gov/pubsearch/pubsinfo.asp?pubid=2011033. For ""The Condition of Education 2010. nces 2010-028,"" see ed509940. For ""The Condition of Education 2011 in Brief. Nces 2011-034,"" see ed520003.].",,https://www.googleapis.com/books/v1/volumes?key=AIzaSyAgszsKLEg7nfzmp-cNM2ep1tihrR_RXBk&q=97803112,
5,97803912,THINGS FALL APART,ACHEBE,"[""['HNRS 230']"", ""['ENGH 513']"", ""['SOCI 332']"", ""['MUSI 438']"", ""['ENGH 400']"", ""['ENGH 398']"", ""['GLOA 720', 'SOCI 412']"", ""['ECON 306']"", ""['MUSI 113', 'MUSI 213']"", ""['RELI 320']"", ""['CS 688']"", ""['GOVT 744']"", ""['ENGH 101', 'ENGH 302']"", ""['ENGH 101']"", ""['ENGH 101', 'NCLC 203']"", ""['MUSI 331', 'MUSI 332', 'MUSI 432']"", ""['MUSI 331']"", ""['MUSI 332']"", ""['MUSI 432']"", ""['HIST 272']"", ""['HIST 100']"", ""['HIST 387']"", ""['MATH 661']"", ""['ENGH 201']"", ""['ENGH 650']"", ""['ENGH 421', 'ENGH 625']"", ""['ECON 365', 'HNRT 228']"", ""['ECON 496', 'GOVT 307']"", ""['HIST 357']"", ""['HIST 252']"", ""['ENGH 432', 'ENGH 645']"", ""['JAPA 340']"", ""['FAVS 280']"", ""['RELI 313']"", ""['MUSI 101']"", ""['PSYC 324']"", ""['THR 151']"", ""['HNRS 130']"", ""['ENGH 351']"", ""['HIST 610']"", ""['PSYC 231']"", ""['NCLC 203']"", ""['HIST 620']"", ""['ENGH 302']"", ""['EDUC 800', 'ENGH 101', 'ENGH 302', 'ENGH 305', 'ENGH 401']"", ""['ENGH 202']"", ""['ENGH 323']"", ""['ENGH 322']"", ""['SPMT 322']"", ""['CSI 772']"", ""['HIST 304']"", ""['SOCI 309']"", ""['MUSI 301']"", ""['SYST 664']"", ""['ENGH 442']"", ""['GLOA 720']"", ""['MATH 621']"", ""['NCLC 322']"", ""['ACCT 361']"", ""['PSYC 461', 'PSYC 592']"", ""['GOVT 103']"", ""['SOCW 624']"", ""['HIST 535', 'HIST 615', 'HIST 635']"", ""['HIST 387', 'HIST 389']"", ""['THR 381', 'THR 480']"", ""['NCLC 422']"", ""['CSI 973', 'STAT 973']"", ""['GOVT 467']"", ""['EDCD 609']"", ""['ARAB 325', 'ENGH 513']"", ""['CULT 804']"", ""['GOVT 322']"", ""['PHIL 253']"", ""['FNAN 341']"", ""['TOUR 460']"", ""['ECON 360']"", ""['HIST 623']"", ""['GCH 360']"", ""['ENGH 310']"", ""['BIOD 706', 'GOVT 739']"", ""['GCH 320']"", ""['GOVT 319', 'WMST 450', 'WMST 550']"", ""['ECON 496', 'ECON 827']"", ""['HDFS 300']"", ""['GLOA 450', 'GLOA 599']"", ""['ENGH 202', 'HNRS 122']"", ""['ENGH 201', 'ENGH 309']"", ""['EDSE 619']"", ""['GAME 332']"", ""['ENGH 201', 'NCLC 317']"", ""['ENGH 201', 'ENGH 302', 'HIST 100']"", ""['ECON 309']"", ""['ENGH 526']"", ""['HIST 122']"", ""['HIST 121']"", ""['HNRS 353']"", ""['CRIM 782']"", ""['AFAM 200']"", ""['HIST 615']"", ""['GOVT 101']""]","Vols. for 1874-76 include also ""Transactions of the Kansas Academy of Science.""",,https://www.googleapis.com/books/v1/volumes?key=AIzaSyAgszsKLEg7nfzmp-cNM2ep1tihrR_RXBk&q=97803912,
6,97814512,CRIMINAL PROCEDURE,ACKER,"[""['CRIM 424']"", ""['HEAL 327']"", ""['EDRS 797']"", ""['EDUC 815']"", ""['CRIM 315']"", ""['SPMT 430']"", ""['NEUR 461', 'PSYC 461', 'PSYC 592']"", ""['GOVT 301']"", ""['GOVT 446']"", ""['STAT 515', 'STAT 763']"", ""['CRIM 408']"", ""['CTCH 710', 'EDIT 590']"", ""['EDCI 519']"", ""['EDRS 822']"", ""['EDUC 624']"", ""['GCH 310']"", ""['GOVT 423']"", ""['HAP 309']"", ""['GOVT 311']"", ""['EDRD 610']"", ""['COMM 350', 'COMM 412', 'GOVT 412']"", ""['NUTR 675']"", ""['COMM 301']"", ""['GOVT 452']"", ""['CRIM 312', 'CRIM 401']"", ""['KINE 100']"", ""['PHED 178']"", ""['GCH 205']"", ""['EDRS 810']"", ""['NCLC 404']"", ""['KINE 310']"", ""['CS 682']"", ""['GAME 310']"", ""['GOVT 364']"", ""['ECON 309', 'ECON 370', 'ECON 385', 'ECON 812', 'GOVT 368']"", ""['EVPP 362', 'GOVT 362']"", ""['GOVT 356']"", ""['NCLC 337']"", ""['EDCI 473', 'EDCI 573']"", ""['NURS 665']"", ""['GOVT 332']"", ""['KINE 330', 'SPMT 210']"", ""['CONF 345']"", ""['HAP 392']"", ""['CTCH 710']"", ""['HHS 432']"", ""['GCH 722']"", ""['SOCI 101']"", ""['PUAD 700']"", ""['PUAD 651']"", ""['NURS 860']"", ""['CS 504']"", ""['PSYC 300']"", ""['RHBS 416']"", ""['ENGH 201']"", ""['BIOL 382']"", ""['HAP 201']"", ""['HAP 310']"", ""['GOVT 329']"", ""['CRIM 210']"", ""['SPMT 618']"", ""['PHED 274']"", ""['COMM 615']"", ""['EDRS 826']""]",Description Not Found,,https://www.googleapis.com/books/v1/volumes?key=AIzaSyAgszsKLEg7nfzmp-cNM2ep1tihrR_RXBk&q=97814512,
7,97812812,METEOROLOGY:UNDERSTANDING...-W/ACCESS,ACKERMAN,"[""['GGS 309']"", ""['SPMT 201']"", ""['NURS 785']"", ""['GCH 300', 'GCH 310']"", ""['NURS 436']"", ""['FRSC 201', 'FRSC 302']"", ""['HEAL 310']"", ""['NURS 453']"", ""['NURS 727']"", ""['NURS 336']"", ""['GCH 300']"", ""['NURS 766']"", ""['GCH 325']"", ""['HAP 301']"", ""['HAP 301', 'HAP 678']"", ""['HAP 706']"", ""['GCH 205']"", ""['HAP 686']"", ""['GCH 645', 'HAP 742']""]",Description Not Found,,https://www.googleapis.com/books/v1/volumes?key=AIzaSyAgszsKLEg7nfzmp-cNM2ep1tihrR_RXBk&q=97812812,
8,97806812,NATURAL HISTORY OF THE SENSES,ACKERMAN,"[""['AVT 307']"", ""['HIST 329']"", ""['HIST 336']"", ""['ENGH 305']"", ""['PHIL 336']"", ""['ENGH 201', 'PHIL 253']"", ""['ENGH 201', 'HNRS 122']"", ""['HNRS 122']"", ""['HIST 272']"", ""['ENGH 204', 'ENGH 351']"", ""['HIST 615']"", ""['ENGH 204']"", ""['ENGH 442']"", ""['ENGH 201']"", ""['GOVT 520', 'HNRS 130']"", ""['CULT 860', 'SOCI 712']"", ""['PHIL 421', 'PHIL 422', 'PHIL 615']"", ""['SOCI 332']"", ""['HNRS 130']"", ""['GOVT 744']"", ""['ENGH 201', 'ENGH 202', 'ENGH 309']"", ""['NCLC 317']"", ""['ENGH 202', 'HIST 535', 'HIST 615', 'HIST 635']"", ""['ENGH 204', 'ENGH 355']"", ""['PHIL 253']"", ""['WMST 100']"", ""['GOVT 444']"", ""['ENGH 355']"", ""['ME 313']"", ""['FNAN 454']"", ""['NCLC 312']"", ""['ECON 385']"", ""['ENGH 309']"", ""['ENGH 201', 'ENGH 302', 'HIST 100']"", ""['HIST 620']"", ""['RELI 235']"", ""['HIST 535', 'HIST 615', 'HIST 635']"", ""['EDRS 812']"", ""['ARTH 394', 'ARTH 594', 'AVT 407', 'AVT 507']"", ""['WMST 450', 'WMST 550']""]",Description Not Found,,https://www.googleapis.com/books/v1/volumes?key=AIzaSyAgszsKLEg7nfzmp-cNM2ep1tihrR_RXBk&q=97806812,
9,97807412,BIOL 311:GENETICS LAB MAN >C<,ADAMKEWICZ,"[""['BIOL 311']"", ""['PUAD 651']"", ""['SPMT 201']"", ""['PHED 274']"", ""['PHED 175']"", ""['CONF 706']"", ""['GOVT 446']"", ""['HNRS 230']"", ""['KINE 200']"", ""['SOCI 309']"", ""['EDRD 300']"", ""['ENGH 399']"", ""['WMST 100']"", ""['KINE 330']"", ""['SPMT 412']"", ""['PHED 131']"", ""['PHED 129', 'PHED 130']"", ""['RHBS 746']"", ""['HDFS 300']"", ""['BIOL 103']"", ""['AFAM 200']"", ""['HIST 387']"", ""['HIST 378']"", ""['SPMT 614']"", ""['CS 100']"", ""['ECON 415']"", ""['SPMT 202']"", ""['THR 482']"", ""['HNRS 240']"", ""['SOCI 860']"", ""['CFRS 775', 'CFRS 780']"", ""['BIOL 104']"", ""['THR 496']"", ""['ENGH 201']"", ""['SPMT 304']"", ""['ARTH 103']"", ""['NEUR 461', 'PSYC 461', 'PSYC 592']"", ""['EDLE 634']"", ""['GOVT 490']"", ""['BIOL 330', 'EVPP 301']"", ""['HIST 272']""]",Description Not Found,,https://www.googleapis.com/books/v1/volumes?key=AIzaSyAgszsKLEg7nfzmp-cNM2ep1tihrR_RXBk&q=97807412,
10,97805212,MESOAMERICA P 2(CAMB HIST /NTV PEOPLE V2,ADAMS,"[""['ANTH 396']"", ""['ECON 854']"", ""['SWE 437', 'SWE 637']"", ""['GOVT 744']"", ""['SOCW 653']"", ""['ENGH 681']"", ""['GCH 320']"", ""['SOCI 412']"", ""['CULT 860', 'SOCW 645']"", ""['AE 014']"", ""['RELI 313']"", ""['CRIM 475']"", ""['ENGH 685']"", ""['NCLC 355']"", ""['EDCI 510']"", ""['GOVT 510']"", ""['BENG 499', 'BENG 590']"", ""['CONF 399', 'WMST 300']"", ""['ANTH 376', 'ANTH 699']"", ""['HNRS 131']"", ""['GCH 405']"", ""['GOVT 500']"", ""['HIST 610']"", ""['GOVT 540', 'GOVT 741']"", ""['CS 321', 'INFS 622', 'SWE 621']"", ""['GEOL 315']"", ""['ECON 103', 'ECON 309', 'ECON 385']"", ""['ECON 306']"", ""['CLIM 690']"", ""['MATH 686']"", ""['HIST 711']"", ""['SPMT 620']"", ""['CULT 860']"", ""['SOCI 332']"", ""['GOVT 745']"", ""['AE 040']"", ""['RELI 645']"", ""['ECE 630']"", ""['HIST 635']"", ""['ARTH 394', 'ARTH 594']"", ""['HNRS 230']"", ""['BIOL 408', 'EVPP 408']"", ""['ECON 826']"", ""['HIST 643']"", ""['GOVT 327']"", ""['ECON 335', 'GOVT 530']"", ""['STAT 778']"", ""['ANTH 490', 'ANTH 536']"", ""['RELI 272']"", ""['CLAS 390']"", ""['NCLC 314']"", ""['ECON 460', 'GOVT 469', 'PHIL 460']"", ""['HIST 387']"", ""['NCLC 475']"", ""['ENGH 681', 'SOCW 653']"", ""['GOVT 540']"", ""['HIST 389']"", ""['ENGH 455']"", ""['HIST 535', 'HIST 615', 'HIST 635']"", ""['ANTH 536']"", ""['ARTH 482', 'ARTH 599']"", ""['AVT 307']"", ""['FRSC 580']"", ""['GOVT 741']""]",,,,
