author,title,isbn,dept_course
ABBOTT,END OF EVERYTHING,9780316097826,"['ENGH 497', 'ENGH 513']"
ABDELRAZAQ,BADDAWI,9781935982401,['ENGH 201']
ABOUL-ENEIN,MILITANT ISLAMIST IDEOLOGY,9781591140702,['CONF 345']
ACEMOGLU,WHY NATIONS FAIL,9780307719218,['ECON 360']
ACEMOGLU,WHY NATIONS FAIL,9780307719225,['GOVT 467']
ACHEBE,THINGS FALL APART,9780385474542,['HNRS 230']
ACKER,CRIMINAL PROCEDURE,9781449652340,['CRIM 424']
ACKERMAN,METEOROLOGY:UNDERSTANDING...-W/ACCESS,9781284030808,['GGS 309']
ACKERMAN,NATURAL HISTORY OF THE SENSES,9780679735663,['AVT 307']
ADAMKEWICZ,BIOL 311:GENETICS LAB MAN >C<,9780738069449,['BIOL 311']
ADAMS,MESOAMERICA P 2(CAMB HIST /NTV PEOPLE V2,9780521652049,['ANTH 396']
ADAMS,"OLD DOMINION,INDUSTRIAL COMMONWEALTH",9780801894008,['HIST 615']
ADAMS,VANDEGRAAFF'S PHOTO.ATLAS F/BIOLOGY LAB,9781617310584,['BIOL 330']
ADENDORFF,WELCOME TO COMPUTERS F/ESL STUD....,9781591367949,['AE 022']
ADENDORFF,WELCOME TO COMPUTERS F/ESL STUD..-WKBK.,9781591367956,['AE 022']
ADGER,CORE SYNTAX:MINIMALIST APPROACH,9780199243709,"['LING 486', 'LING 786']"
ADICHIE,AMERICANAH,9780307455925,['ENGH 204']
ADICHIE,THING AROUND YOUR NECK,9780307455918,['ENGH 201']
ADICHIE,WE SHOULD ALL BE FEMINISTS,9781101911761,['HNRS 130']
ADIGA,WHITE TIGER,9781416562603,"['EDCI 479', 'EDCI 669']"
ADKINS,EVOLUTION OF POLITICAL PARTIES CAMPAIGN,9780872895782,['GOVT 312']
ADLER,COMMUNICATING AT WORK,9780078036804,"['COMM 320', 'FM 200']"
ADLER,COMMUNICATING AT WORK (LOOSELEAF),9780077649289,"['COMM 320', 'FM 200']"
ADLER-KASSNER,NAMING WHAT WE KNOW,9780874219890,"['ENGH 488', 'ENGH 697']"
ADORNI,ENGLISH GRAMMAR FOR STUDENTS OF ITALIAN,9780934034401,['ITAL 110']
AESCHYLUS,AESCHYLUS I/ORESTEIA,9780226307787,"['CLAS 350', 'PHIL 253']"
AGAMBEN,HOMO SACER,9780804732185,"['GOVT 520', 'HIST 535', 'HIST 615', 'HIST 635']"
AGAMBEN,TIME THAT REMAINS,9780804743839,"['GOVT 327', 'GOVT 731']"
AGGARWAL,DATA MINING:THE TEXTBOOK,9783319141411,['GGS 787']
AGRAN,EQUITY+FULL PARTICIPATION F/INDIV...,9781598572704,"['EDSE 447', 'EDSE 547']"
AGRANOFF,COLLABORATING TO MANAGE,9781589019164,['PUAD 703']
AGRESTI,INTRO.TO CATEGORICAL DATA ANALYSIS,9780471226185,['STAT 560']
AIKEN,WORLD HUNGER+MORALITY,9780134482842,['PHIL 309']
AKERLOF,IDENTITY ECONOMICS,9780691152554,['ECON 370']
AKHTAR,DISGRACED,9780822230427,"['THR 381', 'THR 480']"
AKSYONOV,GENERATIONS OF WINTER,9780679761822,['HIST 329']
AL ASWANY,YACOUBIAN BUILDING:A NOVEL,9780060878139,['ENGH 513']
ALBANESE,PROFESSIONAL ETHICS IN CRIMINAL JUSTICE,9780131375659,['CRIM 306']
ALBERTO,APPLIED BEHAVIOR ANALYSIS FOR TEACHERS,9780132655972,"['EDSE 402', 'EDSE 502']"
ALBOM,TUESDAYS WITH MORRIE,9780767905923,['PRLS 210']
ALCOFF,"IDENTITIES:RACE,CLASS,GENDER,+....",9780631217237,['GOVT 414']
ALDERMAN,MOTIVATION FOR ACHIEVEMENT,9780805860481,['EDEP 551']
